open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2869.23,2872.7,2860.67,2854.89,227055.16,23.5,0.83,2843.954,2855.25,2834.045,205893.92,235985.07,247307.74
2821.73,2849.85,2837.17,2813.26,226268.66,17.48,0.62,2845.74,2855.374,2829.425,203143.18,243668.6,247463.17
2845.91,2849.17,2819.69,2818.37,194705.8,-14.84,-0.52,2852.676,2856.138,2825.791,208507.45,246471.87,247675.48
2854.78,2854.78,2834.53,2833.95,198183.44,-33.18,-1.16,2863.34,2856.683,2824.092,223640.64,254085.52,251301.69
2860.82,2869.7,2867.71,2845.34,183256.52,-1.89,-0.07,2867.318,2853.752,2819.324,231807.96,257414.32,250986.35
2871.31,2880.5,2869.6,2855.02,213301.5,-2.25,-0.08,2866.546,2844.583,2813.431,266076.21,259003.44,254545.92
2876.77,2897.99,2871.85,2864.96,253089.98,-1.16,-0.04,2865.008,2837.389,2807.581,284194.02,262202.85,255791.1
2864.86,2883.69,2873.01,2858.11,270371.78,18.59,0.65,2859.6,2830.628,2801.183,284436.29,257588.41,255837.43
2860.96,2863.16,2854.42,2845.66,239020.0,-9.43,-0.33,2850.026,2821.78,2795.403,284530.39,255494.91,260296.17
2823.29,2865.11,2863.85,2823.27,354597.81,1.94,0.07,2840.186,2818.317,2788.123,283020.67,259220.47,260567.45
2851.14,2882.7,2861.91,2851.14,303890.53,17.1,0.6,2822.62,2812.84,2780.925,251930.66,258630.41,257203.01
2814.6,2852.1,2844.81,2814.07,254301.34,19.67,0.7,2809.77,2803.475,2771.933,240211.68,251257.74,255768.17
2814.23,2832.06,2825.14,2781.15,270842.28,19.92,0.71,2801.656,2795.443,2764.162,230740.53,248879.1,258202.62
2786.47,2818.54,2805.22,2783.17,231471.41,29.2,1.05,2793.534,2791.501,2757.407,226459.43,248517.87,261685.36
2789.05,2789.05,2776.02,2770.34,199147.73,-21.64,-0.77,2796.448,2784.896,2752.218,235420.27,244558.39,267805.26
2813.73,2820.24,2797.66,2794.46,245295.62,-6.58,-0.23,2803.06,2782.279,2747.881,265330.16,250088.41,271960.88
2774.44,2804.24,2804.24,2768.4,206945.62,19.71,0.71,2797.18,2777.772,2743.007,262303.8,249379.34,278941.7
2808.91,2808.91,2784.53,2767.27,249436.77,-35.26,-1.25,2789.23,2771.737,2734.764,267017.67,254086.46,287028.62
2812.8,2821.01,2819.79,2799.92,276275.62,10.71,0.38,2789.468,2769.025,2723.519,270576.3,265097.43,290831.65
2790.83,2825.96,2809.08,2782.71,348697.19,40.82,1.48,2773.344,2757.928,2713.95,253696.5,261914.43,295633.58
2751.69,2771.43,2768.26,2750.29,230163.8,3.77,0.14,2761.498,2749.009,2701.986,234846.65,255775.6,302960.49
2783.28,2788.09,2764.49,2761.44,230514.95,-21.23,-0.76,2758.364,2740.391,2694.86,236454.88,260278.59,310292.99
2756.5,2785.8,2785.72,2745.99,267229.94,46.55,1.7,2754.244,2732.88,2690.915,241155.25,267526.14,319533.59
2740.09,2749.48,2739.17,2731.03,191876.62,-10.68,-0.39,2748.582,2723.312,2686.33,259618.56,274852.85,329657.7
2755.2,2787.28,2749.85,2742.52,254447.94,-2.74,-0.1,2742.512,2719.539,2689.31,270132.35,291052.13,344594.55
2754.72,2760.59,2752.59,2749.42,238204.97,8.7,0.32,2736.52,2713.482,2693.917,276704.55,293833.36,350383.97
2742.36,2753.49,2743.89,2736.09,254016.77,-13.52,-0.49,2722.418,2708.242,2700.705,284102.3,308504.06,356694.75
2756.27,2762.31,2757.41,2743.16,359546.5,48.59,1.79,2711.516,2697.791,2709.722,293897.03,319970.79,368019.18
2707.82,2720.84,2708.82,2697.83,244445.59,-11.07,-0.41,2698.042,2678.012,2715.293,290087.14,316565.86,379474.23
2667.94,2719.89,2719.89,2665.81,287308.94,37.81,1.41,2696.566,2669.972,2728.093,311971.91,329352.74,388179.59
2684.5,2722.32,2682.08,2680.08,275193.72,-7.3,-0.27,2690.444,2654.962,2743.002,310962.16,350145.38,404063.13
2713.5,2716.02,2689.38,2684.21,302990.38,-0.66,-0.03,2694.066,2649.329,2756.277,332905.81,360307.4,411588.22
2667.12,2696.33,2690.04,2664.72,340497.06,-11.4,-0.42,2684.066,2648.95,2767.88,346044.56,371541.05,423019.4
2722.47,2733.52,2701.44,2701.44,353869.44,12.16,0.45,2657.982,2649.348,2778.772,343044.59,384462.55,433436.93
2676.62,2716.34,2689.28,2673.44,282260.22,-10.91,-0.4,2643.378,2659.081,2784.752,346733.58,398136.96,444983.44
2700.1,2711.12,2700.19,2681.09,384911.94,60.81,2.3,2619.48,2674.351,2795.89,389328.59,406934.57,451946.55
2608.24,2641.87,2639.38,2592.61,368684.12,79.76,3.12,2604.592,2693.168,2805.964,387708.98,404885.44,464183.47
2548.85,2586.11,2559.62,2548.0,325497.22,-68.8,-2.62,2613.834,2721.652,2819.461,397037.55,416067.56,472328.24
2597.98,2636.14,2628.42,2580.36,372314.38,58.63,2.28,2640.714,2752.573,2837.982,425880.51,442382.59,480372.17
2611.75,2630.05,2569.79,2517.3,495235.28,-55.96,-2.13,2674.784,2786.214,2854.968,449540.35,447006.44,485216.52
2695.42,2724.3,2625.75,2625.6,376813.91,-59.84,-2.23,2729.222,2831.042,2875.387,424540.56,457980.88,485569.68
2696.7,2734.8,2685.59,2629.18,415326.94,-8.43,-0.31,2781.744,2863.224,2890.288,422061.9,462869.04,486864.12
2800.0,2800.18,2694.02,2689.9,469712.06,-104.75,-3.74,2829.47,2886.809,2902.228,435097.57,474497.74,485147.26
2720.61,2826.72,2798.77,2715.14,490613.56,-43.21,-1.52,2864.432,2908.196,2915.031,458884.66,482411.31,484309.93
2858.51,2866.14,2841.98,2828.29,370236.31,-46.38,-1.61,2897.644,2910.423,2919.845,444472.52,491829.92,477342.25
2927.83,2927.83,2888.36,2888.36,364420.62,-35.86,-1.23,2932.862,2917.429,2921.52,491421.2,496958.54,477547.81
2859.87,2935.09,2924.22,2852.93,480505.31,55.39,1.93,2944.704,2918.76,2921.882,503676.18,523481.51,474942.16
2908.63,2908.63,2868.83,2864.49,588647.5,-96.0,-3.24,2944.148,2917.27,2919.664,513897.91,528588.93,468931.01
2989.76,2999.49,2964.83,2962.4,418552.88,-53.24,-1.76,2951.96,2923.39,2918.725,505937.96,518361.75,456326.1
2966.69,3023.12,3018.07,2956.65,604979.69,70.5,2.39,2923.202,2923.721,2913.069,539187.31,523426.61,452620.27
2921.07,2949.57,2947.57,2919.37,425695.5,26.13,0.89,2901.996,2919.732,2904.91,502495.87,513158.49,443438.42
2941.68,2948.55,2921.44,2910.76,531614.0,13.55,0.47,2892.816,2917.351,2898.177,543286.84,510859.19,444244.67
2837.77,2922.95,2907.89,2837.77,548847.75,86.85,3.08,2890.392,2917.647,2891.838,543279.94,495796.78,446172.16
2860.28,2880.79,2821.04,2818.43,584799.62,-91.0,-3.12,2894.82,2921.865,2882.798,530785.53,486208.54,448034.36
2904.87,2927.2,2912.04,2903.75,421522.5,10.37,0.36,2924.24,2929.267,2888.37,507665.91,462854.58,440214.06
2877.46,2930.02,2901.67,2872.83,629650.31,-7.65,-0.26,2937.468,2925.611,2893.662,523821.11,458137.09,435717.81
2891.98,2912.16,2909.32,2869.64,531579.5,-20.71,-0.71,2941.886,2925.003,2899.184,478431.55,426402.81,420635.94
2949.98,2953.29,2930.03,2922.16,486375.72,-38.11,-1.28,2944.902,2922.057,2907.018,448313.63,409273.1,407694.39
2965.6,2991.06,2968.14,2959.51,469201.53,-10.04,-0.34,2948.91,2914.06,2913.175,441631.55,394290.46,395027.86
2931.37,2981.27,2978.18,2920.8,502298.47,54.42,1.86,2934.294,2902.417,2916.922,418043.24,381813.94,385723.95
2917.12,2942.35,2923.76,2914.59,402702.53,-0.64,-0.02,2913.754,2890.088,2920.914,392453.07,373718.34,374667.07
2940.65,2944.43,2924.4,2914.96,380989.91,-25.67,-0.87,2908.12,2879.002,2928.756,374374.06,377630.16,372096.45
2901.69,2950.28,2950.07,2898.59,452965.31,55.01,1.9,2899.212,2866.028,2937.042,370232.57,396547.53,367712.37
2870.71,2900.2,2895.06,2870.63,351259.97,19.58,0.68,2879.21,2843.73,2942.933,346949.37,409860.18,359335.3
2898.4,2906.72,2875.48,2871.26,374347.62,-20.11,-0.69,2870.54,2847.473,2951.557,345584.64,417573.54,358347.56
2876.67,2895.93,2895.59,2870.77,312307.5,15.73,0.55,2866.422,2861.713,2959.676,354983.61,413298.54,358457.06
2858.92,2893.07,2879.86,2854.07,360282.44,29.8,1.05,2849.884,2873.365,2968.597,380886.25,414869.08,360027.58
2826.8,2854.83,2850.06,2817.77,336549.34,-1.65,-0.06,2832.844,2891.978,2977.446,422862.5,406115.68,365867.37
2836.8,2851.82,2851.71,2819.67,344436.28,-3.18,-0.11,2808.25,2912.289,2988.857,472770.99,395765.26,367632.65
2829.51,2866.39,2854.89,2809.37,421342.5,41.99,1.49,2824.406,2931.427,3000.813,489562.44,389633.96,375429.04
2803.74,2833.21,2812.9,2782.42,441820.69,18.24,0.65,2857.004,2951.739,3011.23,471613.46,375615.79,369898.93
2724.13,2796.71,2794.66,2724.13,570163.69,67.57,2.48,2896.846,2978.509,3023.722,448851.91,366562.74,369641.22
2676.01,2755.84,2727.09,2676.01,586091.81,-205.4,-7.0,2951.112,3008.056,3034.878,389368.87,338877.21,358343.17
2993.77,2993.77,2932.49,2910.39,428393.53,-85.39,-2.83,3016.328,3042.135,3049.106,318759.53,308810.41,340566.5
2996.81,3023.9,3017.88,2965.66,331597.59,5.77,0.19,3038.448,3055.641,3051.781,289705.47,299121.58,329839.26
3048.95,3050.82,3012.11,3011.18,328012.91,-53.88,-1.76,3046.474,3057.638,3050.726,279618.12,303615.59,324397.1
3070.67,3072.29,3065.99,3054.45,272748.5,12.82,0.42,3060.172,3063.829,3049.332,284273.57,305186.09,321721.47
3054.04,3067.56,3053.17,3042.59,233045.14,10.08,0.33,3065.0,3062.914,3046.664,288385.54,325619.06,320630.16
3067.95,3068.2,3043.09,3039.07,283123.19,-14.92,-0.49,3067.942,3065.425,3044.891,298861.29,339500.04,322442.45
3078.25,3086.97,3058.01,3052.7,281160.88,-22.59,-0.73,3072.834,3070.199,3044.026,308537.68,361224.12,324532.6
3097.72,3108.18,3080.6,3078.46,351290.16,-9.53,-0.31,3068.802,3070.72,3042.782,327613.05,364182.07,334148.22
3069.68,3090.13,3090.13,3054.88,293308.34,22.25,0.72,3067.486,3068.935,3038.712,326098.6,372719.7,333298.61
3079.08,3081.96,3067.88,3058.16,285423.88,0.33,0.01,3060.828,3061.7,3034.521,362852.58,377809.14,339580.48
3060.77,3071.54,3067.55,3055.99,331505.16,29.7,0.98,3062.908,3056.076,3028.029,380138.8,372322.58,335654.21
3058.36,3058.7,3037.85,3030.1,376537.72,-36.17,-1.18,3067.564,3047.921,3022.134,413910.55,360556.94,330875.45
3063.75,3080.27,3074.02,3061.56,343717.88,17.18,0.56,3072.638,3043.813,3017.091,400751.09,345178.62,322171.61
3062.28,3090.84,3056.84,3040.19,477078.28,-21.44,-0.7,3070.384,3034.835,3010.042,419340.81,338256.85,317502.76
3097.25,3097.41,3078.28,3072.11,371854.94,-12.55,-0.41,3062.572,3030.414,3004.191,392765.7,315641.25,304340.64
3073.93,3107.52,3090.83,3073.93,500363.91,27.61,0.9,3049.244,3024.357,2996.375,364506.36,305384.85,296980.15
3057.3,3065.38,3063.22,3043.93,310740.44,0.47,0.01,3028.278,3017.852,2986.887,307203.33,287841.08,281681.04
3016.2,3065.25,3062.75,3007.96,436666.47,44.97,1.49,3014.988,3014.844,2979.207,289606.15,304114.37,275688.18
3012.03,3047.61,3017.78,3012.03,344202.75,6.14,0.2,2999.286,3008.489,2971.041,257172.9,293877.51,264522.18
2986.31,3011.64,3011.64,2985.53,230558.23,25.64,0.86,2998.256,3007.342,2964.888,238516.81,301351.82,257707.11
2993.36,2993.56,2986.0,2976.91,213848.77,-10.77,-0.36,2999.47,2999.982,2960.83,246263.34,298985.84,255065.87
2985.62,2999.08,2996.77,2982.42,222754.53,12.53,0.42,3007.426,2996.347,2958.746,268478.83,301193.96,254553.12
3015.29,3028.56,2984.24,2982.02,274500.22,-28.39,-0.94,3014.7,2990.369,2956.236,318622.59,299164.6,258528.11
3022.12,3033.56,3012.63,3009.38,250922.28,-5.08,-0.17,3017.692,2985.249,2954.587,330582.13,296748.67,261454.21
3027.67,3029.7,3017.71,3009.87,269290.91,-8.07,-0.27,3016.428,2977.968,2950.069,364186.83,293040.02,262309.11
